aftB	Tier 2
ahpC	Tier 1
atpE	Tier 1
ccsA	Tier 2
clpC1	Tier 1
ddn	Tier 1
eis	Tier 1
embA	Tier 1
embB	Tier 1
embC	Tier 1
embR	Tier 2
ethA	Tier 1
ethR	Tier 2
fabG1	Tier 1
fbiA	Tier 1
fbiB	Tier 1
fbiC	Tier 1
fgd1	Tier 1
fprA	Tier 2
gid	Tier 1
gyrA	Tier 1
gyrB	Tier 1
inhA	Tier 1
katG	Tier 1
mmpL5	Tier 1
mmpS5	Tier 1
mshA	Tier 2
ndh	Tier 2
panD	Tier 1
pepQ	Tier 1
pncA	Tier 1
PPE35	Tier 2
rplC	Tier 1
rpoA	Tier 2
rpoB	Tier 1
rpoC	Tier 2
rpsL	Tier 1
rrl	Tier 1
rrs	Tier 1
mmpR5	Tier 1
Rv1258c	Tier 1
Rv1979c	Tier 2
Rv2752c	Tier 2
Rv2983	Tier 1
Rv3083	Tier 2
Rv3236c	Tier 2
tlyA	Tier 1
ubiA	Tier 2
whiB6	Tier 2
whiB7	Tier 1
